iter	Passed	Remaining
496	625	633
497	626	632
498	628	630
499	629	629
500	630	627
501	631	626
502	632	625
503	633	623
504	635	622
505	636	621
506	637	619
507	638	618
508	639	617
509	640	615
510	642	614
511	643	613
512	645	612
513	646	611
514	647	609
515	648	608
516	649	607
517	650	605
518	652	604
519	653	603
520	654	602
521	656	600
522	657	599
523	658	598
524	659	596
525	660	595
526	661	594
527	663	592
528	664	591
529	665	590
530	667	589
531	668	588
532	669	586
533	671	585
534	672	584
535	673	582
536	674	581
537	675	580
538	676	579
539	678	577
540	679	576
541	680	575
542	681	573
543	682	572
544	684	571
545	685	569
546	686	568
547	687	567
548	689	566
549	690	565
550	691	563
551	693	562
552	694	561
553	695	560
554	696	558
555	698	557
556	699	556
557	700	554
558	701	553
559	702	552
560	703	550
561	705	549
562	706	548
563	707	546
564	708	545
565	710	544
566	712	544
567	714	543
568	715	542
569	717	540
570	718	539
571	719	538
572	720	536
573	721	535
574	723	534
575	724	533
576	725	531
577	726	530
578	727	529
579	728	527
580	730	526
581	731	525
582	732	523
583	735	524
584	736	522
585	738	521
586	739	520
587	740	519
588	741	517
589	743	516
590	744	515
591	745	513
592	746	512
593	748	511
594	749	510
595	750	508
596	752	507
597	753	506
598	754	505
599	756	504
600	757	503
601	759	502
602	760	500
603	761	499
604	763	498
605	764	497
606	765	495
607	767	494
608	768	493
609	769	492
610	771	491
611	772	489
612	773	488
613	774	487
614	776	485
615	777	484
616	780	484
617	781	482
618	782	481
619	783	480
620	785	479
621	786	478
622	787	476
623	789	475
624	790	474
625	791	472
626	792	471
627	793	470
628	795	468
629	796	467
630	797	466
631	798	465
632	800	464
633	802	463
634	803	462
635	805	461
636	807	459
637	808	458
638	810	457
639	811	456
640	813	455
641	814	454
642	816	453
643	817	451
644	818	450
645	819	449
646	821	448
647	822	446
648	824	446
649	826	444
650	827	443
651	829	442
652	830	441
653	831	440
654	833	438
655	834	437
656	835	436
657	837	435
658	838	433
659	839	432
660	841	431
661	842	430
662	843	428
663	845	427
664	847	426
665	848	425
666	850	424
667	851	423
668	852	421
669	853	420
670	854	419
671	856	418
672	857	416
673	858	415
674	860	414
675	861	412
676	862	411
677	863	410
678	864	408
679	866	407
680	868	406
681	869	405
682	871	404
683	872	403
684	873	401
685	875	400
686	876	399
687	877	398
688	879	396
689	880	395
690	881	394
691	882	392
692	883	391
693	885	390
694	886	389
695	887	387
696	889	386
697	891	385
698	893	384
699	894	383
700	895	382
701	896	380
702	898	379
703	899	378
704	900	376
705	902	375
706	903	374
707	904	373
708	905	371
709	907	370
710	909	369
711	910	368
712	915	368
713	919	368
714	922	367
715	923	366
716	924	365
717	926	363
718	927	362
719	928	361
720	930	359
721	931	358
722	932	357
723	934	356
724	936	355
725	937	353
726	939	352
727	940	351
728	942	350
729	943	349
730	944	347
731	946	346
732	948	345
733	949	344
734	950	342
735	952	341
736	953	340
737	954	338
738	955	337
739	957	336
740	959	335
741	960	333
742	962	332
743	964	331
744	965	330
745	966	329
746	968	328
747	970	326
748	971	325
749	972	324
750	973	322
751	975	321
752	976	320
753	977	318
754	978	317
755	981	316
756	982	315
757	984	314
758	985	312
759	986	311
760	987	310
761	989	309
762	990	307
763	992	306
764	993	305
765	994	303
766	995	302
767	996	301
768	998	299
769	999	298
770	1000	297
771	1002	296
772	1004	294
773	1005	293
774	1007	292
775	1008	291
776	1010	289
777	1011	288
778	1012	287
779	1013	285
780	1015	284
781	1016	283
782	1017	282
783	1019	280
784	1020	279
785	1021	278
786	1022	276
787	1023	275
788	1025	274
789	1027	273
790	1028	271
791	1029	270
792	1031	269
793	1032	267
794	1034	266
795	1037	265
796	1038	264
797	1040	263
798	1042	262
799	1044	261
800	1046	259
801	1049	259
802	1051	258
803	1054	257
804	1055	255
805	1057	254
806	1058	253
807	1060	252
808	1062	250
809	1064	249
810	1066	248
811	1068	247
812	1071	246
813	1073	245
814	1074	243
815	1076	242
816	1078	241
817	1080	240
818	1083	239
819	1085	238
820	1087	237
821	1088	235
822	1090	234
823	1092	233
824	1094	232
825	1096	230
826	1098	229
827	1099	228
828	1101	227
829	1102	225
830	1105	224
831	1107	223
832	1108	222
833	1111	221
834	1112	219
835	1114	218
836	1117	217
837	1118	216
838	1121	215
839	1122	213
840	1124	212
841	1126	211
842	1127	210
843	1129	208
844	1130	207
845	1132	206
846	1134	204
847	1137	203
848	1139	202
849	1141	201
850	1144	200
851	1145	199
852	1147	197
853	1148	196
854	1150	195
855	1152	193
856	1153	192
857	1154	191
858	1156	189
859	1157	188
860	1163	187
861	1165	186
862	1168	185
863	1170	184
864	1172	183
865	1174	181
866	1176	180
867	1179	179
868	1183	178
869	1185	177
870	1188	176
871	1190	174
872	1193	173
873	1195	172
874	1197	171
875	1199	169
876	1200	168
877	1203	167
878	1207	166
879	1209	164
880	1210	163
881	1212	162
882	1213	160
883	1215	159
884	1216	158
885	1218	156
886	1219	155
887	1221	154
888	1223	152
889	1225	151
890	1229	150
891	1231	149
892	1233	147
893	1235	146
894	1237	145
895	1238	143
896	1240	142
897	1243	141
898	1245	139
899	1247	138
900	1249	137
901	1252	136
902	1254	134
903	1256	133
904	1258	132
905	1260	130
906	1261	129
907	1263	128
908	1264	126
909	1266	125
910	1268	123
911	1270	122
912	1271	121
913	1273	119
914	1275	118
915	1277	117
916	1278	115
917	1280	114
918	1281	112
919	1283	111
920	1285	110
921	1287	108
922	1289	107
923	1291	106
924	1292	104
925	1295	103
926	1296	102
927	1298	100
928	1299	99
929	1300	97
930	1302	96
931	1304	95
932	1305	93
933	1307	92
934	1308	90
935	1310	89
936	1311	88
937	1312	86
938	1314	85
939	1316	84
940	1318	82
941	1320	81
942	1322	79
943	1324	78
944	1326	77
945	1328	75
946	1331	74
947	1335	73
948	1336	71
949	1340	70
950	1342	69
951	1343	67
952	1345	66
953	1346	64
954	1347	63
955	1349	62
956	1350	60
957	1351	59
958	1352	57
959	1353	56
960	1355	55
961	1356	53
962	1358	52
963	1359	50
964	1361	49
965	1362	47
966	1363	46
967	1365	45
968	1366	43
969	1367	42
970	1368	40
971	1370	39
972	1371	38
973	1372	36
974	1373	35
975	1375	33
976	1376	32
977	1377	30
978	1379	29
979	1385	28
980	1387	26
981	1388	25
982	1390	24
983	1392	22
984	1393	21
985	1395	19
986	1396	18
987	1397	16
988	1399	15
989	1400	14
990	1402	12
991	1403	11
992	1405	9
993	1407	8
994	1408	7
995	1410	5
996	1414	4
997	1415	2
998	1417	1
999	1418	0
